Id,Distance,StationFromUid,StationToUid,Time
93101,8349,2585283,3318717,1894
93102,8827,2585283,2585972,1730
93103,8722,2585283,2585968,1688
93104,13917,2585283,2585807,2886
93105,21115,2585283,2585901,4364
93106,17119,2585283,2585853,3593
93107,16835,2585283,2585856,3587
93108,8528,2585283,3318688,1611
93109,8013,2585283,3318744,1640
93110,12816,2585259,2585821,2687
93111,18920,2585259,2585871,3781
93112,19234,2585259,2585872,3852
93113,18670,2585259,2585873,3648
93114,18271,2585259,2585875,3606
93115,18280,2585259,2585876,3586
93116,19836,2585259,2585880,3840
93117,19392,2585259,2585883,3806
93118,18928,2585259,2585885,3718
93119,20458,2585259,2585888,3995
93120,20474,2585259,2585893,3986
93121,18384,2585259,2585868,3651
93122,19302,2585259,2585894,3816
93123,16025,2585259,2585850,3386
93124,16456,2585259,2585848,3496
93125,17364,2585259,2585846,3628
93126,15925,2585259,2585824,3312
93127,14297,2585259,2585808,2927
93128,14654,2585259,2585809,2974
93129,13302,2585259,2585811,2751
93130,13827,2585259,2585814,2918
93131,16551,2585259,2585817,3432
93132,11415,2585259,2585820,2366
93133,20535,2585259,2585897,4021
93134,22302,2585259,2585863,4155
93135,8519,2585278,3454384,1701
93136,13436,2585278,2586044,2703
93137,5535,2585278,2586268,1122
93138,5270,2585278,2585971,1187
93139,5386,2585278,2586270,1012
93140,15043,2585278,3559966,3040
93141,4843,2585278,4215025,1034
93142,6081,2585278,4393742,1294
93143,11369,2585278,4585378,2537
93144,14216,2585278,4729149,2903
93145,12244,2585278,4807340,2502
93146,7661,2585278,2586000,1527
93147,11096,2585278,4807350,2312
93148,9180,2585278,4807395,1952
93149,8047,2585278,4807401,1706
93150,6699,2585278,4807409,1402
93151,14820,2585278,5291649,3044
93152,13496,2585278,5291656,2748
93153,20325,2585278,5291665,4118
93154,21198,2585278,5291667,4243
93155,21624,2585278,6860417,4375
93156,24824,2585278,6903044,4970
93157,1251,2585278,3470029,229
93158,10268,2585278,4807388,2120
93159,6911,2585278,2585997,1467
93160,12265,2585288,2585821,2549
93161,15638,2585288,2585871,3407
93162,15952,2585288,2585872,3479
93163,15389,2585288,2585873,3274
93164,14989,2585288,2585875,3232
93165,14998,2585288,2585876,3212
93166,16554,2585288,2585880,3467
93167,16110,2585288,2585883,3432
93168,10828,2585472,2585929,2118
93169,15646,2585288,2585885,3344
93170,17176,2585288,2585888,3621
93171,17193,2585288,2585893,3613
93172,15102,2585288,2585868,3277
93173,16020,2585288,2585894,3442
93174,11802,2585288,2585850,2793
93175,7355,2585472,2585961,1494
93176,12836,2585288,2585848,2753
93177,5278,2585472,2585963,1140
93178,12788,2585288,2585846,2750
93179,9981,2585288,2585824,2211
93180,5415,2585472,2585964,1137
93181,13746,2585288,2585808,2790
93182,14103,2585288,2585809,2836
93183,12750,2585288,2585811,2613
93184,13275,2585288,2585814,2780
93185,10606,2585288,2585817,2330
93186,10864,2585288,2585820,2228
93187,17253,2585288,2585897,3647
93188,17722,2585288,2585863,3866
93189,9731,2585472,2585936,1891
93190,11585,2585472,2585934,2357
93191,10870,2585472,2585932,2133
93192,17654,2585472,2585919,3360
93193,12813,2585472,2585905,2618
93194,11778,2585472,2585906,2404
93195,14406,2585472,2585908,2857
93196,6834,2585472,2585960,1357
93197,15489,2585472,2585911,2949
93198,13021,2585472,2585916,2646
93199,15109,2585472,2585917,3024
93200,14345,2585472,2585920,2803
93201,11379,2585472,2585931,2222
93202,14024,2585472,2585921,2702
93203,14353,2585472,2585922,2776
93204,12888,2585472,2585924,2472
93205,11273,2585472,2585925,2211
93206,14117,2585472,2585926,2851
93207,11719,2585472,2585928,2300
93208,14015,2585472,2585913,2807
93209,6355,2585472,2585958,1274
93210,9006,2585714,2585996,1821
93211,9139,2585714,2586032,1951
93212,11860,2585714,2586034,2515
93213,9417,2585714,2586037,1986
93214,10769,2585714,2586039,2219
93215,11556,2585714,2586042,2427
93216,8795,2585714,2586009,1979
93217,7866,2585714,2586005,1801
93218,6998,2585714,2586003,1528
93219,6899,2585714,2585985,1440
93220,8238,2585714,2585974,1723
93221,8092,2585714,2586031,1655
93222,7671,2585714,2585975,1600
93223,7088,2585714,2585981,1438
93224,7057,2585714,2585982,1526
93225,7644,2585714,2585983,1595
93226,4845,2585714,2585984,1089
93227,6810,2585714,2585987,1378
93228,6555,2585714,2586001,1380
93229,7426,2585714,2585990,1545
93230,7860,2585714,2585992,1645
93231,8319,2585714,2585994,1705
93232,8584,2585714,2585995,1807
93233,10395,2585714,2585978,2253
93234,8724,2585714,2586030,1847
93235,16494,2585711,2585929,3247
93236,13022,2585711,2585961,2623
93237,10944,2585711,2585963,2269
93238,10725,2585711,2585964,2189
93239,15397,2585711,2585936,3021
93240,17251,2585711,2585934,3487
93241,16536,2585711,2585932,3262
93242,22196,2585711,2585919,4177
93243,12279,2585711,2585905,2702
93244,12991,2585711,2585906,2785
93245,13555,2585711,2585908,2821
93246,12500,2585711,2585960,2487
93247,20032,2585711,2585911,3766
93248,14120,2585711,2585916,3000
93249,20776,2585711,2585917,4154
93250,18887,2585711,2585920,3620
93251,17045,2585711,2585931,3351
93252,18566,2585711,2585921,3519
93253,18895,2585711,2585922,3592
93254,17430,2585711,2585924,3288
93255,15815,2585711,2585925,3028
93256,19783,2585711,2585926,3980
93257,17386,2585711,2585928,3429
93258,13481,2585711,2585913,2891
93259,12022,2585711,2585958,2403
93260,11186,2585782,2585956,2213
93261,3680,2585782,2585827,931
93262,4603,2585782,2585830,1061
93263,7674,2585782,2585835,1566
93264,3706,2585782,2585837,762
93265,4790,2585782,2585838,1057
93266,7092,2585782,2585839,1571
93267,8458,2585782,2585843,1710
93268,10641,2585782,2585899,2119
93269,9545,2585782,2585902,1919
93270,10974,2585782,2585967,2222
93271,5147,2585782,2585844,1085
93272,10298,2585782,2585904,2088
93273,15246,2585782,2585938,3001
93274,13956,2585782,2585939,2736
93275,14078,2585782,2585942,2796
93276,12107,2585782,2585943,2459
93277,13023,2585782,2585945,2589
93278,13394,2585782,2585947,2653
93279,12327,2585782,2585951,2513
93280,13457,2585782,2585953,2752
93281,11661,2585782,2585954,2398
93282,10498,2585782,2585955,2064
93283,15249,2585782,2585937,2970
93284,1735,2585782,2585825,376
93285,11513,2585283,3454384,2274
93286,16431,2585283,2586044,3276
93287,8188,2585283,2586268,1736
93288,8249,2585283,2585971,1611
93289,8381,2585283,2586270,1584
93290,17683,2585283,3559966,3758
93291,7837,2585283,4215025,1607
93292,9076,2585283,4393742,1867
93293,12793,2585283,4585378,2769
93294,11055,2585283,4729149,2326
93295,9083,2585283,4807340,1925
93296,10366,2585283,2586000,2054
93297,7935,2585283,4807350,1735
93298,6019,2585283,4807395,1375
93299,4886,2585283,4807401,1129
93300,3538,2585283,4807409,825
93301,17460,2585283,5291649,3762
93302,16136,2585283,5291656,3466
93303,22965,2585283,5291665,4836
93304,23838,2585283,5291667,4960
93305,24264,2585283,6860417,5092
93306,27464,2585283,6903044,5688
93307,2896,2585283,3470029,598
93308,7106,2585283,4807388,1543
93309,9617,2585283,2585997,1993
93310,3249,2585452,3454384,648
93311,7646,2585452,2586044,1614
93312,1452,2585452,2586268,404
93313,3374,2585452,2585971,685
93314,1192,2585452,2586270,251
93315,9941,2585452,3559966,2091
93316,1959,2585452,4215025,527
93317,682,2585452,4393742,264
93318,6694,2585452,4585378,1538
93319,10018,2585452,4729149,2253
93320,10432,2585452,4807340,2270
93321,3154,2585452,2586000,700
93322,10501,2585452,4807350,2335
93323,13845,2585452,4807395,2962
93324,10588,2585452,4807401,2450
93325,11364,2585452,4807409,2413
93326,9718,2585452,5291649,2095
93327,8394,2585452,5291656,1799
93328,15223,2585452,5291665,3169
93329,16096,2585452,5291667,3294
93330,16523,2585452,6860417,3426
93331,19722,2585452,6903044,4021
93332,7867,2585452,3470029,1611
93333,10578,2585452,4807388,2314
93334,2842,2585452,2585997,643
93335,18525,2585259,2585860,3731
93336,10680,2585259,2586272,2241
93337,11330,2585259,2675985,2372
93338,6624,2585259,2676298,1314
93339,3281,2585259,2685255,600
93340,7069,2585259,2685262,1610
93341,8606,2585259,2685263,1683
93342,12869,2585259,2685269,2729
93343,13989,2585259,3110680,2756
93344,8216,2585259,3318732,1515
93345,8999,2585259,3318614,1667
93346,11550,2585259,2685274,2157
93347,7853,2585259,3318682,1453
93348,10077,2585259,3318697,1983
93349,10021,2585259,3318701,1996
93350,8639,2585259,3318711,1670
93351,8960,2585259,3318717,1749
93352,9210,2585259,2585972,1795
93353,8371,2585259,2585968,1626
93354,15702,2585259,2585807,3204
93355,21577,2585259,2585901,4193
93356,17581,2585259,2585853,3423
